,location,total_sqft,bath,price,bhk
1476,Bommasandra,1035.0,2.0,41.0,2
1477,Bommasandra,1035.0,2.0,41.73,2
1478,Bommasandra,1034.0,2.0,40.0,2
1479,Bommasandra,877.0,2.0,30.0,2
1480,Bommasandra,1447.0,3.0,80.0,3
1481,Bommasandra,920.0,2.0,37.46,2
1482,Bommasandra,1035.0,2.0,41.43,2
1483,Bommasandra,902.0,2.0,49.0,2
1484,Bommasandra,1295.0,2.0,50.28,3
1486,Bommasandra,1015.0,2.0,40.0,2
1487,Bommasandra,1000.0,2.0,35.0,2
1488,Bommasandra,955.0,2.0,35.28,2
1489,Bommasandra,1005.0,2.0,39.77,2
1490,Bommasandra,1014.0,2.0,35.0,2
1491,Bommasandra,1020.0,2.0,40.89,2
1492,Bommasandra,920.0,2.0,37.2,2
1493,Bommasandra,800.0,1.0,32.0,2
1494,Bommasandra,1280.0,3.0,50.0,3
1495,Bommasandra,1942.0,3.0,90.0,3
1496,Bommasandra,1127.0,2.0,45.0,2
1498,Bommasandra,877.0,2.0,29.0,2
1499,Bommasandra,1365.0,3.0,52.81,3
1500,Bommasandra,842.0,2.0,30.0,2
1501,Bommasandra,1260.0,3.0,49.36,3
1502,Bommasandra,1365.0,3.0,52.82,3
1503,Bommasandra,955.0,2.0,37.97,2
1504,Bommasandra,1089.0,2.0,40.0,2
1505,Bommasandra,950.0,2.0,25.0,2
1506,Bommasandra,1365.0,3.0,53.96,3
1507,Bommasandra Industrial Area,1090.0,2.0,31.48,2
1509,Bommasandra Industrial Area,1020.0,2.0,39.0,2
1513,Bommasandra Industrial Area,1020.0,2.0,29.45,2
1514,Bommasandra Industrial Area,1165.0,2.0,33.64,2
1515,Bommasandra Industrial Area,1090.0,2.0,31.48,2
1517,Bommasandra Industrial Area,1200.0,3.0,45.0,2
1518,Bommasandra Industrial Area,1000.0,2.0,28.88,2
1519,Bommasandra Industrial Area,1020.0,2.0,29.45,2
1520,Bommasandra Industrial Area,1160.0,2.0,33.51,2
1521,Bommasandra Industrial Area,1125.0,2.0,32.49,2
1524,Bommasandra Industrial Area,1365.0,3.0,52.81,3
1525,Bommasandra Industrial Area,1125.0,2.0,32.49,2
1526,Bommasandra Industrial Area,1130.0,2.0,32.64,2
1527,Bommasandra Industrial Area,1065.0,2.0,30.75,2
1528,Bommenahalli,1200.0,3.0,125.0,3
1529,Bommenahalli,1632.0,3.0,145.0,4
1530,Bommenahalli,1670.0,3.0,135.0,4
1531,Bommenahalli,832.0,3.0,77.0,3
1532,Bommenahalli,1680.0,3.0,135.0,4
1533,Bommenahalli,1632.0,3.0,128.0,4
1534,Bommenahalli,3339.0,3.0,250.0,3
1535,Bommenahalli,1355.0,3.0,135.0,4
1536,Bommenahalli,1232.0,3.0,96.0,3
1537,Bommenahalli,1632.0,3.0,140.0,4
1538,Brookefield,1150.0,2.0,69.0,2
1539,Brookefield,1142.0,2.0,70.0,2
1543,Brookefield,2800.0,4.0,240.0,4
1544,Brookefield,1476.0,3.0,105.0,3
1545,Brookefield,1700.0,4.0,152.0,4
1546,Brookefield,1262.0,2.0,75.0,2
1547,Brookefield,1139.0,2.0,80.0,2
1548,Brookefield,1125.0,2.0,70.0,2
1549,Brookefield,1420.0,3.0,85.0,3
1551,Brookefield,941.0,2.0,48.0,2
1554,Brookefield,1100.0,2.0,55.0,2
1555,Brookefield,2400.0,3.0,140.0,4
1556,Brookefield,1225.0,2.0,66.5,2
1557,Brookefield,2700.0,8.0,290.0,8
1558,Brookefield,1950.0,6.0,175.0,5
1559,Brookefield,1080.0,2.0,50.0,2
1560,Brookefield,1230.0,2.0,55.0,2
1561,Brookefield,1200.0,2.0,75.0,2
1562,Brookefield,1089.0,2.0,49.0,2
1563,Brookefield,1130.0,2.0,56.0,2
1564,Brookefield,1270.0,2.0,95.0,2
1565,Brookefield,1706.0,3.0,115.0,3
1566,Brookefield,1389.0,2.0,94.0,2
1568,Brookefield,1500.0,5.0,160.0,4
1569,Brookefield,1225.0,2.0,72.0,2
1571,Brookefield,1746.0,3.0,115.0,3
1573,Brookefield,1560.0,3.0,149.0,4
1575,Brookefield,1382.0,2.0,84.5,2
1576,Brookefield,1260.0,2.0,70.0,2
1577,Brookefield,1206.0,2.0,90.0,2
1579,Brookefield,1594.0,3.0,140.0,3
1580,Brookefield,1588.0,2.0,58.0,2
1582,Budigere,1162.0,2.0,59.9,2
1583,Budigere,1991.0,4.0,103.0,3
1586,Budigere,764.0,1.0,32.0,1
1587,Budigere,1139.0,2.0,62.0,2
1592,Budigere,664.0,1.0,35.0,1
1593,Budigere,1820.0,3.0,93.0,3
1594,Budigere,1636.0,3.0,85.0,3
1596,Budigere,722.0,1.0,46.0,1
1598,Budigere,1139.0,2.0,60.0,2
1602,Budigere,1636.0,3.0,92.0,3
1605,Budigere,1149.0,2.0,65.0,2
1606,Budigere,693.0,1.0,27.375,1
1607,Budigere,664.0,1.0,35.4,1
1610,Budigere,1139.0,2.0,72.0,2
1613,Budigere,664.0,1.0,34.0,1
1615,Budigere,1153.0,2.0,60.0,2
1616,Budigere,1820.0,3.0,99.0,3
1619,Budigere,1820.0,3.0,95.0,3
1620,Budigere,1820.0,3.0,95.5,3
1622,Budigere,705.0,1.0,34.545,1
1624,Budigere,1153.0,2.0,58.0,2
1625,Budigere,1636.0,3.0,88.0,3
1628,CV Raman Nagar,1120.0,2.0,55.0,2
1629,CV Raman Nagar,1070.0,2.0,55.0,2
1630,CV Raman Nagar,740.0,2.0,37.0,2
1631,CV Raman Nagar,1230.0,3.0,47.0,2
1632,CV Raman Nagar,1726.0,3.0,145.0,3
1633,CV Raman Nagar,1028.0,2.0,49.0,2
1634,CV Raman Nagar,1392.0,2.0,98.0,2
1635,CV Raman Nagar,1070.0,2.0,47.5,2
1636,CV Raman Nagar,1825.0,3.0,126.0,3
1637,CV Raman Nagar,1025.0,2.0,50.0,2
1639,CV Raman Nagar,1198.0,2.0,60.0,2
1640,CV Raman Nagar,1560.0,2.0,85.0,2
1641,CV Raman Nagar,1590.0,2.0,85.0,3
1642,CV Raman Nagar,1100.0,2.0,58.0,2
1643,CV Raman Nagar,1051.0,2.0,61.0,2
1644,CV Raman Nagar,705.0,1.0,57.0,1
1645,CV Raman Nagar,1225.0,2.0,47.88,2
1646,CV Raman Nagar,1000.0,2.0,38.5,2
1648,CV Raman Nagar,1020.0,2.0,55.0,2
1649,CV Raman Nagar,1285.0,2.0,65.0,2
1650,CV Raman Nagar,1030.0,2.0,35.0,2
1651,CV Raman Nagar,1835.0,3.0,160.0,3
1652,CV Raman Nagar,1836.0,3.0,148.0,3
1653,CV Raman Nagar,1040.0,2.0,50.0,2
1654,CV Raman Nagar,1392.0,2.0,95.0,2
1655,CV Raman Nagar,705.0,2.0,50.0,1
1656,CV Raman Nagar,1125.0,2.0,46.0,2
1657,CV Raman Nagar,1400.0,2.0,78.0,3
1658,CV Raman Nagar,1980.0,4.0,180.0,3
1659,CV Raman Nagar,1980.0,4.0,166.0,3
1660,CV Raman Nagar,907.0,2.0,38.0,2
1661,CV Raman Nagar,1392.0,2.0,110.0,2
1663,CV Raman Nagar,1227.0,2.0,42.88,2
1664,CV Raman Nagar,1225.0,2.0,48.0,2
1665,CV Raman Nagar,1659.0,3.0,135.0,3
1666,CV Raman Nagar,1200.0,2.0,100.0,5
1667,CV Raman Nagar,1310.0,2.0,62.0,2
1668,Chamrajpet,1475.0,2.0,120.0,3
1669,Chamrajpet,1900.0,2.0,170.0,4
1670,Chamrajpet,1350.0,2.0,180.0,2
1671,Chamrajpet,1050.0,2.0,162.0,2
1672,Chamrajpet,1660.4,4.0,211.0,4
1673,Chamrajpet,505.0,1.0,85.0,1
1674,Chamrajpet,1565.0,3.0,98.91,3
1675,Chamrajpet,730.0,1.0,52.0,2
1676,Chamrajpet,650.0,1.0,40.0,2
1678,Chamrajpet,650.0,2.0,45.0,2
1679,Chamrajpet,1650.0,3.0,115.0,3
1680,Chandapura,650.0,1.0,17.0,2
1681,Chandapura,645.0,1.0,16.45,1
1682,Chandapura,645.0,1.0,16.45,1
1685,Chandapura,530.0,1.0,11.66,1
1686,Chandapura,1208.0,3.0,45.0,3
1688,Chandapura,1200.0,2.0,32.0,2
1689,Chandapura,1025.0,2.0,27.68,2
1690,Chandapura,582.5,1.0,15.135,1
1693,Chandapura,1400.0,2.0,60.0,2
1694,Chandapura,1065.0,2.0,33.0,3
1697,Chandapura,1500.0,2.0,60.0,2
1698,Chandapura,850.0,2.0,25.4,2
1699,Chandapura,590.0,1.0,13.57,1
1700,Chandapura,630.0,1.0,13.86,1
1702,Chandapura,630.0,1.0,27.0,2
1703,Chandapura,877.0,2.0,42.0,2
1705,Chandapura,1107.0,2.0,43.0,3
1706,Chandapura,520.0,1.0,14.04,1
1707,Chandapura,1200.0,1.0,36.0,2
1709,Chandapura,620.0,1.0,27.0,1
1710,Chandapura,645.0,1.0,16.45,1
1712,Chandapura,700.0,1.0,19.0,2
1715,Chandapura,1208.51,3.0,42.0,3
1716,Chandapura,876.0,2.0,29.5,2
1718,Chandapura,937.0,2.0,30.0,2
1719,Chandapura,1025.0,2.0,27.68,2
1721,Chandapura,800.0,2.0,25.0,2
1722,Chandapura,778.0,2.0,25.29,2
1723,Chandapura,715.0,2.0,32.0,3
1725,Chandapura,950.0,2.0,25.65,2
1726,Chandapura,1200.0,2.0,36.0,2
1727,Chandapura,922.0,2.0,36.0,2
1729,Chandapura,674.0,1.0,19.9,2
1731,Chandapura,1080.0,2.0,45.0,2
1733,Chandapura,450.0,1.0,9.0,1
1739,Chandapura,971.0,2.0,38.0,3
1741,Chandapura,3300.0,4.0,135.0,4
1742,Chandapura,800.0,1.0,30.0,2
1743,Chandapura,900.0,2.0,35.0,2
1744,Chandapura,1200.0,2.0,52.0,3
1746,Chandapura,1323.0,2.0,42.0,3
1747,Chandapura,410.0,1.0,10.0,1
1749,Chandapura,740.0,1.0,22.0,2
1750,Chandapura,876.0,2.0,28.47,2
1752,Chandapura,520.0,1.0,14.04,1
1753,Channasandra,1340.0,2.0,48.33,3
1754,Channasandra,1009.0,2.0,38.34,2
1755,Channasandra,1065.0,2.0,35.0,2
1756,Channasandra,1470.0,2.0,90.0,3
1757,Channasandra,1115.0,2.0,33.45,2
1758,Channasandra,1030.0,2.0,34.5,2
1759,Channasandra,4200.0,6.0,180.0,6
1760,Channasandra,1115.0,2.0,40.0,2
1761,Channasandra,3040.0,2.0,48.0,2
1762,Channasandra,1200.0,3.0,67.77,3
1763,Channasandra,1104.0,2.0,35.5,2
1764,Channasandra,1160.0,2.0,55.0,2
1765,Channasandra,1050.0,2.0,41.0,2
1766,Channasandra,1065.0,2.0,40.47,2
1768,Channasandra,1070.0,2.0,38.0,2
1769,Channasandra,1050.0,2.0,35.0,2
1770,Channasandra,1093.0,2.0,34.0,2
1771,Channasandra,808.0,2.0,40.0,2
1772,Channasandra,1010.0,2.0,36.0,2
1773,Channasandra,1123.0,2.0,36.0,2
1774,Channasandra,1000.0,2.0,35.0,2
1775,Channasandra,1500.0,4.0,89.45,4
1776,Channasandra,1330.0,2.0,51.83,3
1777,Channasandra,1093.0,2.0,37.0,2
1778,Channasandra,1115.0,2.0,35.8,2
1779,Channasandra,4278.0,7.0,299.0,7
1780,Channasandra,1500.0,3.0,61.95,3
1782,Channasandra,830.0,2.0,36.28,2
1783,Channasandra,1200.0,3.0,67.77,3
1784,Channasandra,1195.0,2.0,56.0,3
1785,Channasandra,1175.0,2.0,38.0,2
1786,Channasandra,1200.0,2.0,46.13,2
1787,Channasandra,1065.0,2.0,36.0,2
1788,Channasandra,1050.0,2.0,44.41,2
1789,Channasandra,1010.0,2.0,32.0,2
1790,Chikka Tirupathi,2600.0,5.0,120.0,4
1791,Chikka Tirupathi,2325.0,4.0,120.0,4
1793,Chikka Tirupathi,1808.0,4.0,80.27,3
1794,Chikka Tirupathi,3297.0,3.0,135.0,3
1795,Chikka Tirupathi,3500.0,5.0,150.0,4
1796,Chikka Tirupathi,3056.0,5.0,100.0,4
1797,Chikka Tirupathi,2646.0,3.0,99.0,3
1798,Chikka Tirupathi,4500.0,5.0,150.0,4
1799,Chikka Tirupathi,2704.0,5.0,105.0,4
1800,Chikka Tirupathi,2325.0,3.0,95.0,3
1801,Chikka Tirupathi,3250.0,4.0,136.0,4
1802,Chikka Tirupathi,2153.0,4.0,120.0,3
1803,Chikka Tirupathi,2665.0,5.0,125.0,4
1804,Chikkabanavar,950.0,2.0,40.0,2
1805,Chikkabanavar,1200.0,1.0,20.0,1
1806,Chikkabanavar,1600.0,2.0,80.0,3
1807,Chikkabanavar,1200.0,4.0,70.0,5
1808,Chikkabanavar,600.0,1.0,25.0,2
1810,Chikkabanavar,1500.0,4.0,105.0,4
1811,Chikkabanavar,2400.0,4.0,97.0,5
1812,Chikkabanavar,2000.0,4.0,65.0,5
1813,Chikkabanavar,1067.0,2.0,38.0,2
1814,Chikkabanavar,1320.0,2.0,46.0,3
1815,Chikkabanavar,4000.0,7.0,110.0,8
1817,Chikkalasandra,1100.0,2.0,50.0,2
1818,Chikkalasandra,1208.0,2.0,49.0,2
1819,Chikkalasandra,875.0,2.0,52.8,2
1821,Chikkalasandra,1800.0,1.0,128.0,2
1822,Chikkalasandra,1070.0,2.0,50.0,2
1823,Chikkalasandra,1230.0,2.0,48.0,2
1824,Chikkalasandra,1428.0,2.0,80.0,3
1825,Chikkalasandra,1070.0,2.0,42.8,2
1829,Chikkalasandra,1075.0,2.0,46.76,2
1831,Chikkalasandra,1070.0,2.0,45.48,2
1832,Chikkalasandra,1100.0,2.0,50.0,2
1835,Chikkalasandra,1224.0,2.0,45.0,2
1836,Chikkalasandra,1090.0,2.0,47.42,2
1839,Chikkalasandra,1325.0,2.0,59.0,2
1840,Chikkalasandra,1290.0,2.0,72.0,2
1843,Choodasandra,1115.0,2.0,50.0,2
1844,Choodasandra,1300.0,2.0,57.0,2
1845,Choodasandra,1530.0,3.0,77.0,3
1847,Choodasandra,1197.0,2.0,63.0,2
1848,Choodasandra,1465.0,3.0,75.0,3
1849,Choodasandra,1115.0,2.0,50.0,2
1850,Choodasandra,1215.0,2.0,59.0,2
1851,Choodasandra,1254.0,2.0,65.0,3
1852,Choodasandra,1580.0,3.0,105.0,3
1853,Choodasandra,725.0,2.0,36.0,2
1854,Choodasandra,2429.0,3.0,210.0,4
1855,Choodasandra,1075.0,2.0,45.0,2
1856,Choodasandra,1180.0,2.0,71.22,2
1857,Choodasandra,1140.0,2.0,62.0,2
1859,Choodasandra,1560.0,3.0,78.0,3
1860,Choodasandra,1065.0,2.0,46.0,2
1861,Cooke Town,565.0,1.0,35.0,1
1862,Cooke Town,2572.0,3.0,390.0,3
1863,Cooke Town,3950.0,4.0,450.0,4
1864,Cooke Town,2388.0,4.0,239.0,3
1865,Cooke Town,1500.0,3.0,95.0,3
1866,Cooke Town,1710.0,2.0,200.0,2
1867,Cooke Town,1310.0,2.0,111.0,2
1869,Cooke Town,2560.0,4.0,310.0,3
1870,Cooke Town,2600.0,3.0,375.0,3
1871,Cooke Town,1700.0,3.0,120.0,3
1872,Cooke Town,1100.0,2.0,90.0,2
1873,Cooke Town,2300.0,3.0,250.0,3
1874,Cooke Town,1850.0,3.0,110.0,3
1875,Cooke Town,1600.0,3.0,260.0,3
1877,Cox Town,605.0,1.0,29.0,1
1880,Cox Town,1600.0,3.0,150.0,3
1881,Cox Town,1250.0,2.0,95.0,2
1882,Cox Town,1100.0,2.0,166.0,2
1883,Cox Town,1280.0,2.0,120.0,2
1884,Cox Town,1073.0,2.0,72.0,2
1885,Cox Town,1000.0,2.0,58.0,2
1886,Cox Town,1200.0,2.0,140.0,2
1887,Cunningham Road,5270.0,4.0,1250.0,4
1888,Cunningham Road,3875.0,3.0,864.0,3
1889,Cunningham Road,3875.0,3.0,800.0,3
1890,Cunningham Road,3815.0,3.0,763.0,3
1891,Cunningham Road,2880.0,3.0,501.0,3
1892,Cunningham Road,3489.0,3.0,662.0,3
1893,Cunningham Road,4170.0,3.0,800.0,3
1895,Cunningham Road,2700.0,3.0,501.0,3
1897,Cunningham Road,2880.0,3.0,560.0,3
1898,Dasanapura,708.0,2.0,37.0,2
1899,Dasanapura,708.0,1.0,40.0,2
1900,Dasanapura,965.0,2.0,42.5,2
1902,Dasanapura,1500.0,3.0,65.0,2
1903,Dasanapura,708.0,1.0,28.32,1
1904,Dasanapura,814.0,2.0,42.0,2
1905,Dasanapura,1163.0,2.0,65.0,2
1906,Dasanapura,2400.0,5.0,100.0,4
1907,Dasanapura,1286.0,2.0,68.0,3
1908,Dasanapura,545.0,2.0,22.34,2
1909,Dasanapura,708.0,2.0,31.15,2
1910,Dasanapura,966.0,2.0,58.0,2
1911,Dasanapura,708.0,1.0,41.0,1
1912,Dasanapura,814.0,2.0,43.7,2
1913,Dasarahalli,1295.0,2.0,65.0,2
1915,Dasarahalli,1300.0,2.0,55.0,2
1916,Dasarahalli,1901.0,3.0,119.0,3
1917,Dasarahalli,1150.0,2.0,70.0,2
1918,Dasarahalli,2400.0,3.0,150.0,7
1919,Dasarahalli,2100.0,3.0,120.0,3
1920,Dasarahalli,1300.0,2.0,50.0,2
1921,Dasarahalli,2400.0,2.0,152.0,3
1922,Dasarahalli,1220.0,2.0,52.0,2
1923,Dasarahalli,1375.0,2.0,60.0,2
1924,Dasarahalli,1950.0,3.0,125.0,3
1925,Dasarahalli,1333.0,2.0,86.65,2
1926,Dasarahalli,1333.0,2.0,78.56,2
1927,Dasarahalli,1220.0,2.0,62.0,2
1928,Dasarahalli,1160.0,2.0,49.0,2
1929,Devanahalli,1260.0,2.0,66.78,2
1930,Devanahalli,1282.0,2.0,68.52,3
1932,Devanahalli,1408.0,2.0,85.0,2
1933,Devanahalli,1010.0,2.0,51.0,2
1935,Devanahalli,5000.0,5.0,395.0,4
1936,Devanahalli,2400.0,5.0,100.0,5
1940,Devanahalli,2400.0,5.0,190.0,4
1941,Devanahalli,1200.0,1.0,95.0,1
1942,Devanahalli,658.0,1.0,34.0,1
1943,Devanahalli,658.0,1.0,26.91,1
1944,Devanahalli,698.5,1.0,28.57,1
1946,Devanahalli,1700.0,3.0,88.2,3
1947,Devanahalli,1498.0,3.0,79.15,3
1948,Devanahalli,4920.0,4.0,393.5,4
1949,Devanahalli,1466.0,3.0,77.59,3
1950,Devanahalli,775.0,1.0,39.0,1
1951,Devanahalli,1020.0,2.0,49.87,1
1953,Devanahalli,1550.0,3.0,85.0,3
1956,Devanahalli,2125.0,3.0,107.0,3
1959,Devanahalli,658.0,1.0,26.91,1
1961,Devanahalli,1010.0,2.0,58.0,2
1964,Devarachikkanahalli,1350.0,7.0,85.0,8
1966,Devarachikkanahalli,1250.0,2.0,40.0,2
1967,Devarachikkanahalli,1200.0,2.0,83.0,2
1968,Devarachikkanahalli,1170.0,2.0,40.0,2
1969,Devarachikkanahalli,615.0,1.0,24.0,1
1970,Devarachikkanahalli,1230.0,2.0,58.0,2
1971,Devarachikkanahalli,1425.0,2.0,65.0,3
1972,Devarachikkanahalli,947.0,2.0,43.0,2
1973,Devarachikkanahalli,1130.0,2.0,36.0,2
1974,Devarachikkanahalli,1417.0,2.0,76.0,3
1975,Devarachikkanahalli,1230.0,2.0,58.0,2
1976,Devarachikkanahalli,1705.0,3.0,75.0,3
1977,Devarachikkanahalli,1116.0,2.0,47.0,2
1978,Devarachikkanahalli,991.0,2.0,40.0,2
1980,Dodda Nekkundi,1260.0,2.0,55.0,2
1981,Dodda Nekkundi,850.0,2.0,28.0,2
1982,Dodda Nekkundi,1390.0,2.0,60.0,2
1983,Dodda Nekkundi,1804.0,3.0,121.0,3
1984,Dodda Nekkundi,1080.0,2.0,50.0,2
1985,Dodda Nekkundi,1999.0,3.0,132.0,3
1986,Dodda Nekkundi,1100.0,2.0,48.0,2
1987,Dodda Nekkundi,1999.0,3.0,135.0,3
1988,Dodda Nekkundi,1100.0,2.0,41.15,2
1989,Dodda Nekkundi,1252.0,2.0,71.0,3
1990,Dodda Nekkundi,1155.0,2.0,46.0,2
1991,Dodda Nekkundi,1128.0,2.0,45.0,2
1992,Dodda Nekkundi,1148.0,2.0,56.0,2
1994,Dodda Nekkundi,1145.0,2.0,46.5,2
1995,Dodda Nekkundi,1829.0,3.0,125.0,3
1996,Dodda Nekkundi,1100.0,2.0,41.16,2
1997,Dodda Nekkundi,1100.0,2.0,46.75,2
1998,Dodda Nekkundi,1315.0,2.0,50.0,2
1999,Dodda Nekkundi,1135.0,2.0,58.0,2
2000,Dodda Nekkundi,1100.0,2.0,41.18,2
2001,Dodda Nekkundi,1370.0,2.0,60.0,2
2002,Dodda Nekkundi,1200.0,2.0,71.0,2
2003,Dodda Nekkundi,1585.0,2.0,79.0,3
2004,Dodda Nekkundi,1005.0,2.0,45.0,2
2005,Dodda Nekkundi,1264.0,2.0,52.0,2
2006,Doddaballapur,1690.0,3.0,80.0,4
2007,Doddaballapur,3000.0,2.0,120.0,3
2008,Doddaballapur,4200.0,4.0,325.0,4
2009,Doddaballapur,3876.0,3.0,300.0,3
2010,Doddaballapur,2776.0,4.0,195.0,3
2011,Doddaballapur,2440.0,3.0,142.0,3
2012,Doddaballapur,2400.0,3.0,200.0,4
2013,Doddaballapur,654.0,1.0,49.0,1
2014,Doddaballapur,3206.0,5.0,270.0,4
2015,Doddakallasandra,1233.0,2.0,43.0,2
2016,Doddakallasandra,1010.0,2.0,40.39,2
2017,Doddakallasandra,1360.0,2.0,54.39,3
2018,Doddakallasandra,1460.0,2.0,58.39,3
2019,Doddakallasandra,1360.0,2.0,54.4,3
2020,Doddakallasandra,1425.0,2.0,56.99,3
2021,Doddakallasandra,1072.0,2.0,42.87,2
2022,Doddakallasandra,1010.0,2.0,40.4,2
2023,Doddakallasandra,1010.0,2.0,41.0,2
2024,Doddathoguru,970.0,2.0,33.0,2
2025,Doddathoguru,1050.0,2.0,32.0,2
2026,Doddathoguru,850.0,2.0,25.0,2
2027,Doddathoguru,1030.0,2.0,42.0,2
2028,Doddathoguru,1549.0,3.0,65.0,3
2030,Doddathoguru,984.0,2.0,51.0,2
2031,Doddathoguru,550.0,1.0,17.0,1
2032,Doddathoguru,1015.0,2.0,33.5,2
2033,Doddathoguru,1104.0,2.0,39.0,2
2034,Doddathoguru,915.0,2.0,32.0,2
2035,Doddathoguru,1140.0,2.0,32.0,2
2036,Doddathoguru,750.0,1.0,25.5,1
2037,Doddathoguru,1595.0,3.0,62.0,3
2038,Doddathoguru,855.0,2.0,32.0,2
2039,Doddathoguru,1105.0,2.0,50.0,2
2040,Doddathoguru,925.0,2.0,30.0,2
2043,Doddathoguru,1100.0,2.0,50.0,2
2044,Doddathoguru,940.0,2.0,32.9,2
2045,Doddathoguru,1382.0,3.0,65.0,3
2046,Doddathoguru,1107.0,2.0,44.0,2
2047,Doddathoguru,907.0,2.0,40.0,2
2048,Doddathoguru,1783.0,3.0,85.0,3
2049,Domlur,1540.0,3.0,90.0,3
2050,Domlur,1875.0,2.0,150.0,3
2051,Domlur,1429.0,3.0,86.0,3
2052,Domlur,640.0,1.0,55.0,1
2053,Domlur,1050.0,2.0,85.0,2
2054,Domlur,1800.0,3.0,150.0,3
2055,Domlur,1720.0,3.0,135.0,3
2056,Domlur,1950.0,3.0,165.0,3
2057,Domlur,2180.0,3.0,285.0,3
2058,Domlur,650.0,1.0,70.0,1
2059,Domlur,780.0,1.0,70.0,1
2060,Domlur,2180.0,3.0,285.0,3
2061,Domlur,1740.0,3.0,120.0,3
2062,Domlur,1695.0,3.0,125.0,3
2063,Domlur,1246.0,2.0,95.0,2
2064,Domlur,2100.0,3.0,145.0,3
2065,Domlur,1276.0,2.0,80.0,2
2066,Domlur,1850.0,3.0,180.0,3
2067,Domlur,2955.0,3.0,235.0,3
2068,Domlur,1650.0,3.0,180.0,3
2069,Dommasandra,805.0,2.0,22.14,2
2071,Dommasandra,1267.0,3.0,56.0,3
2072,Dommasandra,1200.0,2.0,50.0,2
2073,Dommasandra,2700.0,3.0,68.0,4
2075,Dommasandra,1153.0,2.0,43.5,2
2076,Dommasandra,1500.0,2.0,40.0,2
2077,Dommasandra,1090.0,2.0,43.5,2
2078,Dommasandra,850.0,2.0,25.4,2
2079,Dommasandra,674.0,1.0,19.9,2
2080,Dommasandra,999.0,2.0,32.9,2
2082,EPIP Zone,1285.0,2.0,82.0,2
2083,EPIP Zone,2330.0,3.0,162.0,3
2084,EPIP Zone,1330.0,2.0,92.5,2
2085,EPIP Zone,1330.0,2.0,86.98,2
2086,EPIP Zone,1330.0,2.0,93.36,2
2087,EPIP Zone,2160.0,4.0,172.0,3
2089,EPIP Zone,1500.0,3.0,102.0,3
2090,EPIP Zone,1280.0,2.0,69.0,2
2091,EPIP Zone,1125.0,2.0,65.0,2
2092,EPIP Zone,1734.0,3.0,125.0,3
2094,EPIP Zone,1343.0,2.0,86.0,2
2096,EPIP Zone,2350.0,4.0,163.0,3
2097,EPIP Zone,1860.0,3.0,130.0,3
2098,EPIP Zone,2210.0,3.0,165.0,3
2099,EPIP Zone,2710.0,3.0,177.0,3
2102,Electronic City,1025.0,2.0,47.0,3
2106,Electronic City,1500.0,2.0,64.5,3
2107,Electronic City,1060.0,2.0,60.0,2
2108,Electronic City,1152.0,2.0,64.5,2
2111,Electronic City,1070.0,2.0,52.0,2
2113,Electronic City,589.0,1.0,27.0,1
2115,Electronic City,1200.0,3.0,90.0,3
2117,Electronic City,1108.0,2.0,63.0,2
2118,Electronic City,1128.0,2.0,65.0,2
2119,Electronic City,1800.0,3.0,95.0,3
2120,Electronic City,630.0,1.0,34.65,1
2121,Electronic City,1128.0,2.0,63.0,2
2122,Electronic City,1599.0,3.0,125.0,3
2123,Electronic City,1599.0,3.0,99.0,3
2126,Electronic City,1070.0,2.0,55.0,2
2129,Electronic City,1128.0,2.0,68.75,2
2130,Electronic City,1342.0,2.0,73.3,2
2131,Electronic City,1360.0,2.0,71.0,3
2134,Electronic City,1691.0,2.0,102.0,3
2135,Electronic City,1128.0,2.0,65.49,2
2139,Electronic City,1070.0,2.0,56.1,2
2140,Electronic City,2000.0,4.0,120.0,4
2141,Electronic City,890.0,2.0,45.0,2
2142,Electronic City,1128.0,2.0,65.65,2
2143,Electronic City,865.0,2.0,42.0,2
2147,Electronic City,1360.0,2.0,75.0,3
2148,Electronic City,770.0,1.0,40.0,2
2149,Electronic City,1128.0,2.0,64.0,2
2150,Electronic City,1070.0,2.0,54.0,2
2153,Electronic City,1571.0,3.0,89.0,3
2154,Electronic City,1111.0,3.0,50.0,3
2156,Electronic City,630.0,1.0,47.0,1
2158,Electronic City,1374.0,2.0,72.0,3
2161,Electronic City,1128.0,2.0,65.35,2
2166,Electronic City,1563.0,3.0,91.84,3
2167,Electronic City,1652.0,3.0,70.0,3
2169,Electronic City,1025.0,2.0,54.5,2
2171,Electronic City,1350.0,3.0,58.0,3
2174,Electronic City,1700.0,3.0,75.0,3
2176,Electronic City,1128.0,2.0,68.0,2
2177,Electronic City,700.0,1.0,35.0,1
2178,Electronic City,1360.0,2.0,70.5,3
2180,Electronic City,1571.0,3.0,105.0,3
2184,Electronic City,1600.0,3.0,104.0,3
2186,Electronic City,1500.0,2.0,100.0,3
2190,Electronic City,1152.0,2.0,65.0,2
2191,Electronic City,1070.0,2.0,60.0,2
2192,Electronic City,1128.0,2.0,65.5,2
2193,Electronic City,1200.0,2.0,59.0,2
2194,Electronic City,1152.0,2.0,65.75,2
2196,Electronic City,1070.0,2.0,55.0,2
2197,Electronic City,1060.0,2.0,58.0,2
2198,Electronic City,1025.0,2.0,54.1,2
2203,Electronic City,1500.0,2.0,78.0,3
2204,Electronic City,1213.0,2.0,59.32,2
2205,Electronic City,1575.0,3.0,90.0,3
